,Date,from_station_name,Mean_Temperature_F,Events,number_of_trips
95,01/02/2015,Dexter Ave & Denny Way,48.0,Rain,2
96,01/02/2015,Dexter Ave N & Aloha St,48.0,Rain,8
97,01/02/2015,E Harrison St & Broadway Ave E,48.0,Rain,10
98,01/02/2015,E Pine St & 16th Ave,48.0,Rain,18
99,01/02/2015,Eastlake Ave E & E Allison St,48.0,Rain,2
100,01/02/2015,Frye Art Museum / Terry Ave & Columbia St,48.0,Rain,6
101,01/02/2015,Harvard Ave & E Pine St,48.0,Rain,18
102,01/02/2015,Key Arena / 1st Ave N & Harrison St,48.0,Rain,16
103,01/02/2015,NE 47th St & 12th Ave NE,48.0,Rain,8
104,01/02/2015,Occidental Park / Occidental Ave S & S Washington St,48.0,Rain,2
105,01/02/2015,PATH / 9th Ave & Westlake Ave,48.0,Rain,10
106,01/02/2015,Pine St & 9th Ave,48.0,Rain,6
107,01/02/2015,REI / Yale Ave N & John St,48.0,Rain,8
108,01/02/2015,Republican St & Westlake Ave N,48.0,Rain,6
109,01/02/2015,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,48.0,Rain,2
110,01/02/2015,Seattle University / E Columbia St & 12th Ave,48.0,Rain,4
111,01/02/2015,Summit Ave & E Denny Way,48.0,Rain,8
112,01/02/2015,Summit Ave E & E Republican St,48.0,Rain,4
113,01/02/2015,UW Engineering Library / E Stevens Way NE & Jefferson Rd,48.0,Rain,2
114,01/02/2015,Westlake Ave & 6th Ave,48.0,Rain,2
115,01/02/2016,12th Ave & E Denny Way,41.0,Rain,10
116,01/02/2016,12th Ave & E Mercer St,41.0,Rain,7
117,01/02/2016,12th Ave & E Yesler Way,41.0,Rain,2
118,01/02/2016,12th Ave & NE Campus Pkwy,41.0,Rain,1
119,01/02/2016,15th Ave E & E Thomas St,41.0,Rain,7
120,01/02/2016,1st Ave & Marion St,41.0,Rain,3
121,01/02/2016,2nd Ave & Blanchard St,41.0,Rain,6
122,01/02/2016,2nd Ave & Pine St,41.0,Rain,8
123,01/02/2016,2nd Ave & Spring St,41.0,Rain,6
124,01/02/2016,2nd Ave & Vine St,41.0,Rain,3
125,01/02/2016,3rd Ave & Broad St,41.0,Rain,5
126,01/02/2016,6th Ave & Blanchard St,41.0,Rain,4
127,01/02/2016,9th Ave N & Mercer St,41.0,Rain,7
128,01/02/2016,Bellevue Ave & E Pine St,41.0,Rain,6
129,01/02/2016,Burke Museum / E Stevens Way NE & Memorial Way NE,41.0,Rain,1
130,01/02/2016,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,41.0,Rain,1
131,01/02/2016,Cal Anderson Park / 11th Ave & Pine St,41.0,Rain,5
132,01/02/2016,Children's Hospital / Sandpoint Way NE & 40th Ave NE,41.0,Rain,2
133,01/02/2016,Dexter Ave & Denny Way,41.0,Rain,2
134,01/02/2016,Dexter Ave N & Aloha St,41.0,Rain,7
135,01/02/2016,E Blaine St & Fairview Ave E,41.0,Rain,7
136,01/02/2016,E Harrison St & Broadway Ave E,41.0,Rain,11
137,01/02/2016,E Pine St & 16th Ave,41.0,Rain,19
138,01/02/2016,Eastlake Ave E & E Allison St,41.0,Rain,3
139,01/02/2016,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,41.0,Rain,1
140,01/02/2016,Frye Art Museum / Terry Ave & Columbia St,41.0,Rain,1
141,01/02/2016,Harvard Ave & E Pine St,41.0,Rain,5
142,01/02/2016,Key Arena / 1st Ave N & Harrison St,41.0,Rain,4
143,01/02/2016,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,41.0,Rain,4
144,01/02/2016,Lake Union Park / Valley St & Boren Ave N,41.0,Rain,1
145,01/02/2016,Occidental Park / Occidental Ave S & S Washington St,41.0,Rain,4
146,01/02/2016,PATH / 9th Ave & Westlake Ave,41.0,Rain,5
147,01/02/2016,Pier 69 / Alaskan Way & Clay St,41.0,Rain,6
148,01/02/2016,Pine St & 9th Ave,41.0,Rain,4
149,01/02/2016,REI / Yale Ave N & John St,41.0,Rain,7
150,01/02/2016,Republican St & Westlake Ave N,41.0,Rain,5
151,01/02/2016,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,41.0,Rain,1
152,01/02/2016,Seattle University / E Columbia St & 12th Ave,41.0,Rain,3
153,01/02/2016,Summit Ave & E Denny Way,41.0,Rain,9
154,01/02/2016,Summit Ave E & E Republican St,41.0,Rain,8
155,01/02/2016,Terry Ave & Stewart St,41.0,Rain,1
156,01/02/2016,UW Engineering Library / E Stevens Way NE & Jefferson Rd,41.0,Rain,1
157,01/02/2016,Union St & 4th Ave,41.0,Rain,7
158,01/02/2016,Westlake Ave & 6th Ave,41.0,Rain,6
159,01/03/2015,12th Ave & E Denny Way,44.0,BLANK,10
160,01/03/2015,12th Ave & E Mercer St,44.0,BLANK,10
161,01/03/2015,12th Ave & NE Campus Pkwy,44.0,BLANK,8
162,01/03/2015,15th Ave E & E Thomas St,44.0,BLANK,14
163,01/03/2015,15th Ave NE & NE 40th St,44.0,BLANK,6
164,01/03/2015,2nd Ave & Blanchard St,44.0,BLANK,8
165,01/03/2015,2nd Ave & Pine St,44.0,BLANK,14
166,01/03/2015,2nd Ave & Vine St,44.0,BLANK,26
167,01/03/2015,3rd Ave & Broad St,44.0,BLANK,10
168,01/03/2015,6th Ave & Blanchard St,44.0,BLANK,4
169,01/03/2015,6th Ave S & S King St,44.0,BLANK,6
170,01/03/2015,7th Ave & Union St,44.0,BLANK,6
171,01/03/2015,9th Ave N & Mercer St,44.0,BLANK,2
172,01/03/2015,Burke Museum / E Stevens Way NE & Memorial Way NE,44.0,BLANK,8
173,01/03/2015,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,44.0,BLANK,2
174,01/03/2015,Cal Anderson Park / 11th Ave & Pine St,44.0,BLANK,20
175,01/03/2015,Children's Hospital / Sandpoint Way NE & 40th Ave NE,44.0,BLANK,2
176,01/03/2015,Dexter Ave & Denny Way,44.0,BLANK,16
177,01/03/2015,Dexter Ave N & Aloha St,44.0,BLANK,8
178,01/03/2015,E Blaine St & Fairview Ave E,44.0,BLANK,6
179,01/03/2015,E Harrison St & Broadway Ave E,44.0,BLANK,20
180,01/03/2015,E Pine St & 16th Ave,44.0,BLANK,24
181,01/03/2015,Eastlake Ave E & E Allison St,44.0,BLANK,2
182,01/03/2015,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,44.0,BLANK,10
183,01/03/2015,Frye Art Museum / Terry Ave & Columbia St,44.0,BLANK,12
184,01/03/2015,Harvard Ave & E Pine St,44.0,BLANK,34
185,01/03/2015,Key Arena / 1st Ave N & Harrison St,44.0,BLANK,18
186,01/03/2015,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,44.0,BLANK,4
187,01/03/2015,Lake Union Park / Valley St & Boren Ave N,44.0,BLANK,6
188,01/03/2015,NE 42nd St & University Way NE,44.0,BLANK,2
189,01/03/2015,NE 47th St & 12th Ave NE,44.0,BLANK,6
190,01/03/2015,Occidental Park / Occidental Ave S & S Washington St,44.0,BLANK,14
191,01/03/2015,PATH / 9th Ave & Westlake Ave,44.0,BLANK,2
192,01/03/2015,Pier 69 / Alaskan Way & Clay St,44.0,BLANK,38
193,01/03/2015,Pine St & 9th Ave,44.0,BLANK,6
194,01/03/2015,REI / Yale Ave N & John St,44.0,BLANK,8
195,01/03/2015,Republican St & Westlake Ave N,44.0,BLANK,2
196,01/03/2015,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,44.0,BLANK,30
197,01/03/2015,Seattle University / E Columbia St & 12th Ave,44.0,BLANK,4
198,01/03/2015,Summit Ave & E Denny Way,44.0,BLANK,14
199,01/03/2015,Summit Ave E & E Republican St,44.0,BLANK,14
200,01/03/2015,UW Engineering Library / E Stevens Way NE & Jefferson Rd,44.0,BLANK,8
201,01/03/2015,UW Intramural Activities Building,44.0,BLANK,8
202,01/03/2015,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,44.0,BLANK,4
203,01/03/2015,Westlake Ave & 6th Ave,44.0,BLANK,16
204,01/03/2016,12th Ave & E Denny Way,50.0,Rain,5
205,01/03/2016,12th Ave & E Mercer St,50.0,Rain,3
206,01/03/2016,12th Ave & E Yesler Way,50.0,Rain,2
207,01/03/2016,12th Ave & NE Campus Pkwy,50.0,Rain,1
208,01/03/2016,15th Ave E & E Thomas St,50.0,Rain,2
209,01/03/2016,1st Ave & Marion St,50.0,Rain,1
210,01/03/2016,2nd Ave & Blanchard St,50.0,Rain,1
211,01/03/2016,2nd Ave & Pine St,50.0,Rain,4
212,01/03/2016,2nd Ave & Spring St,50.0,Rain,1
213,01/03/2016,2nd Ave & Vine St,50.0,Rain,4
214,01/03/2016,3rd Ave & Broad St,50.0,Rain,4
215,01/03/2016,6th Ave & Blanchard St,50.0,Rain,3
216,01/03/2016,6th Ave S & S King St,50.0,Rain,1
217,01/03/2016,7th Ave & Union St,50.0,Rain,2
218,01/03/2016,9th Ave N & Mercer St,50.0,Rain,4
219,01/03/2016,Bellevue Ave & E Pine St,50.0,Rain,4
220,01/03/2016,Cal Anderson Park / 11th Ave & Pine St,50.0,Rain,7
221,01/03/2016,City Hall / 4th Ave & James St,50.0,Rain,3
222,01/03/2016,Dexter Ave & Denny Way,50.0,Rain,3
223,01/03/2016,Dexter Ave N & Aloha St,50.0,Rain,8
224,01/03/2016,E Blaine St & Fairview Ave E,50.0,Rain,4
225,01/03/2016,E Harrison St & Broadway Ave E,50.0,Rain,8
226,01/03/2016,E Pine St & 16th Ave,50.0,Rain,15
227,01/03/2016,Eastlake Ave E & E Allison St,50.0,Rain,2
228,01/03/2016,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,50.0,Rain,1
229,01/03/2016,Frye Art Museum / Terry Ave & Columbia St,50.0,Rain,3
230,01/03/2016,Harvard Ave & E Pine St,50.0,Rain,3
231,01/03/2016,Key Arena / 1st Ave N & Harrison St,50.0,Rain,3
232,01/03/2016,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,50.0,Rain,4
233,01/03/2016,Lake Union Park / Valley St & Boren Ave N,50.0,Rain,2
234,01/03/2016,Mercer St & 9th Ave N,50.0,Rain,3
235,01/03/2016,NE 42nd St & University Way NE,50.0,Rain,1
236,01/03/2016,Occidental Park / Occidental Ave S & S Washington St,50.0,Rain,2
237,01/03/2016,PATH / 9th Ave & Westlake Ave,50.0,Rain,3
238,01/03/2016,Pier 69 / Alaskan Way & Clay St,50.0,Rain,3
239,01/03/2016,Pine St & 9th Ave,50.0,Rain,4
240,01/03/2016,Republican St & Westlake Ave N,50.0,Rain,1
241,01/03/2016,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,50.0,Rain,2
242,01/03/2016,Seattle University / E Columbia St & 12th Ave,50.0,Rain,3
243,01/03/2016,Summit Ave & E Denny Way,50.0,Rain,7
244,01/03/2016,Summit Ave E & E Republican St,50.0,Rain,4
245,01/03/2016,Terry Ave & Stewart St,50.0,Rain,2
246,01/03/2016,UW Intramural Activities Building,50.0,Rain,1
247,01/03/2016,Union St & 4th Ave,50.0,Rain,2
248,01/03/2016,Westlake Ave & 6th Ave,50.0,Rain,4
249,01/04/2015,12th Ave & E Denny Way,50.0,Rain,8
250,01/04/2015,12th Ave & E Mercer St,50.0,Rain,10
251,01/04/2015,12th Ave & NE Campus Pkwy,50.0,Rain,12
252,01/04/2015,15th Ave E & E Thomas St,50.0,Rain,22
253,01/04/2015,15th Ave NE & NE 40th St,50.0,Rain,12
254,01/04/2015,1st Ave & Marion St,50.0,Rain,20
255,01/04/2015,2nd Ave & Blanchard St,50.0,Rain,20
256,01/04/2015,2nd Ave & Pine St,50.0,Rain,22
257,01/04/2015,2nd Ave & Spring St,50.0,Rain,12
258,01/04/2015,2nd Ave & Vine St,50.0,Rain,26
259,01/04/2015,3rd Ave & Broad St,50.0,Rain,18
260,01/04/2015,6th Ave & Blanchard St,50.0,Rain,8
261,01/04/2015,6th Ave S & S King St,50.0,Rain,6
262,01/04/2015,7th Ave & Union St,50.0,Rain,6
263,01/04/2015,9th Ave N & Mercer St,50.0,Rain,20
264,01/04/2015,Burke Museum / E Stevens Way NE & Memorial Way NE,50.0,Rain,12
265,01/04/2015,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,50.0,Rain,2
266,01/04/2015,Cal Anderson Park / 11th Ave & Pine St,50.0,Rain,32
267,01/04/2015,Children's Hospital / Sandpoint Way NE & 40th Ave NE,50.0,Rain,8
268,01/04/2015,City Hall / 4th Ave & James St,50.0,Rain,8
269,01/04/2015,Dexter Ave & Denny Way,50.0,Rain,14
270,01/04/2015,Dexter Ave N & Aloha St,50.0,Rain,16
271,01/04/2015,E Blaine St & Fairview Ave E,50.0,Rain,8
272,01/04/2015,E Harrison St & Broadway Ave E,50.0,Rain,24
273,01/04/2015,E Pine St & 16th Ave,50.0,Rain,30
274,01/04/2015,Eastlake Ave E & E Allison St,50.0,Rain,8
275,01/04/2015,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,50.0,Rain,10
276,01/04/2015,Frye Art Museum / Terry Ave & Columbia St,50.0,Rain,18
277,01/04/2015,Harvard Ave & E Pine St,50.0,Rain,18
278,01/04/2015,Key Arena / 1st Ave N & Harrison St,50.0,Rain,8
279,01/04/2015,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,50.0,Rain,4
280,01/04/2015,Lake Union Park / Valley St & Boren Ave N,50.0,Rain,14
281,01/04/2015,NE 47th St & 12th Ave NE,50.0,Rain,8
282,01/04/2015,Occidental Park / Occidental Ave S & S Washington St,50.0,Rain,8
283,01/04/2015,PATH / 9th Ave & Westlake Ave,50.0,Rain,26
284,01/04/2015,Pier 69 / Alaskan Way & Clay St,50.0,Rain,32
285,01/04/2015,Pine St & 9th Ave,50.0,Rain,42
286,01/04/2015,REI / Yale Ave N & John St,50.0,Rain,40
287,01/04/2015,Republican St & Westlake Ave N,50.0,Rain,16
288,01/04/2015,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,50.0,Rain,10
289,01/04/2015,Seattle University / E Columbia St & 12th Ave,50.0,Rain,8
290,01/04/2015,Summit Ave & E Denny Way,50.0,Rain,26
291,01/04/2015,Summit Ave E & E Republican St,50.0,Rain,20
292,01/04/2015,UW Engineering Library / E Stevens Way NE & Jefferson Rd,50.0,Rain,6
293,01/04/2015,UW Intramural Activities Building,50.0,Rain,8
294,01/04/2015,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,50.0,Rain,4
295,01/04/2015,UW McCarty Hall / Whitman Ct,50.0,Rain,4
296,01/04/2015,Westlake Ave & 6th Ave,50.0,Rain,36
297,01/04/2016,12th Ave & E Denny Way,58.0,BLANK,6
298,01/04/2016,12th Ave & E Mercer St,58.0,BLANK,13
299,01/04/2016,12th Ave & E Yesler Way,58.0,BLANK,1
300,01/04/2016,12th Ave & NE Campus Pkwy,58.0,BLANK,8
301,01/04/2016,15th Ave E & E Thomas St,58.0,BLANK,10
302,01/04/2016,15th Ave NE & NE 40th St,58.0,BLANK,4
303,01/04/2016,1st Ave & Marion St,58.0,BLANK,9
304,01/04/2016,2nd Ave & Blanchard St,58.0,BLANK,14
305,01/04/2016,2nd Ave & Pine St,58.0,BLANK,19
306,01/04/2016,2nd Ave & Spring St,58.0,BLANK,7
307,01/04/2016,2nd Ave & Vine St,58.0,BLANK,12
308,01/04/2016,3rd Ave & Broad St,58.0,BLANK,14
309,01/04/2016,6th Ave & Blanchard St,58.0,BLANK,5
310,01/04/2016,7th Ave & Union St,58.0,BLANK,7
311,01/04/2016,9th Ave N & Mercer St,58.0,BLANK,7
312,01/04/2016,Bellevue Ave & E Pine St,58.0,BLANK,13
313,01/04/2016,Broadway and E Denny Way,58.0,BLANK,11
314,01/04/2016,Burke Museum / E Stevens Way NE & Memorial Way NE,58.0,BLANK,6
315,01/04/2016,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,58.0,BLANK,5
316,01/04/2016,Cal Anderson Park / 11th Ave & Pine St,58.0,BLANK,14
317,01/04/2016,Children's Hospital / Sandpoint Way NE & 40th Ave NE,58.0,BLANK,3
318,01/04/2016,City Hall / 4th Ave & James St,58.0,BLANK,4
319,01/04/2016,Dexter Ave & Denny Way,58.0,BLANK,5
320,01/04/2016,Dexter Ave N & Aloha St,58.0,BLANK,10
321,01/04/2016,E Blaine St & Fairview Ave E,58.0,BLANK,6
322,01/04/2016,E Harrison St & Broadway Ave E,58.0,BLANK,9
323,01/04/2016,E Pine St & 16th Ave,58.0,BLANK,16
324,01/04/2016,Eastlake Ave E & E Allison St,58.0,BLANK,8
325,01/04/2016,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,58.0,BLANK,3
326,01/04/2016,Harvard Ave & E Pine St,58.0,BLANK,9
327,01/04/2016,Key Arena / 1st Ave N & Harrison St,58.0,BLANK,18
328,01/04/2016,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,58.0,BLANK,7
329,01/04/2016,Lake Union Park / Valley St & Boren Ave N,58.0,BLANK,9
330,01/04/2016,Mercer St & 9th Ave N,58.0,BLANK,5
331,01/04/2016,NE 42nd St & University Way NE,58.0,BLANK,4
332,01/04/2016,NE 47th St & 12th Ave NE,58.0,BLANK,6
333,01/04/2016,NE Pacific St/UW Medical Center,58.0,BLANK,3
334,01/04/2016,Occidental Park / Occidental Ave S & S Washington St,58.0,BLANK,8
335,01/04/2016,PATH / 9th Ave & Westlake Ave,58.0,BLANK,11
336,01/04/2016,Pier 69 / Alaskan Way & Clay St,58.0,BLANK,27
337,01/04/2016,Pine St & 9th Ave,58.0,BLANK,4
338,01/04/2016,REI / Yale Ave N & John St,58.0,BLANK,8
339,01/04/2016,Republican St & Westlake Ave N,58.0,BLANK,8
340,01/04/2016,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,58.0,BLANK,18
341,01/04/2016,Seattle University / E Columbia St & 12th Ave,58.0,BLANK,7
342,01/04/2016,Summit Ave & E Denny Way,58.0,BLANK,8
343,01/04/2016,Summit Ave E & E Republican St,58.0,BLANK,9
344,01/04/2016,Terry Ave & Stewart St,58.0,BLANK,7
345,01/04/2016,UW Engineering Library / E Stevens Way NE & Jefferson Rd,58.0,BLANK,6
346,01/04/2016,UW Intramural Activities Building,58.0,BLANK,6
347,01/04/2016,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,58.0,BLANK,1
348,01/04/2016,Union St & 4th Ave,58.0,BLANK,5
349,01/04/2016,Westlake Ave & 6th Ave,58.0,BLANK,22
350,01/05/2015,12th Ave & E Denny Way,59.0,BLANK,3
351,01/05/2015,12th Ave & E Mercer St,59.0,BLANK,8
352,01/05/2015,12th Ave & NE Campus Pkwy,59.0,BLANK,8
353,01/05/2015,15th Ave E & E Thomas St,59.0,BLANK,12
354,01/05/2015,15th Ave NE & NE 40th St,59.0,BLANK,9
355,01/05/2015,1st Ave & Marion St,59.0,BLANK,8
356,01/05/2015,2nd Ave & Blanchard St,59.0,BLANK,9
357,01/05/2015,2nd Ave & Pine St,59.0,BLANK,14
358,01/05/2015,2nd Ave & Spring St,59.0,BLANK,12
359,01/05/2015,2nd Ave & Vine St,59.0,BLANK,16
360,01/05/2015,3rd Ave & Broad St,59.0,BLANK,19
361,01/05/2015,6th Ave & Blanchard St,59.0,BLANK,9
362,01/05/2015,6th Ave S & S King St,59.0,BLANK,8
363,01/05/2015,7th Ave & Union St,59.0,BLANK,9
364,01/05/2015,9th Ave N & Mercer St,59.0,BLANK,8
365,01/05/2015,Burke Museum / E Stevens Way NE & Memorial Way NE,59.0,BLANK,5
366,01/05/2015,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,59.0,BLANK,5
367,01/05/2015,Cal Anderson Park / 11th Ave & Pine St,59.0,BLANK,16
368,01/05/2015,Children's Hospital / Sandpoint Way NE & 40th Ave NE,59.0,BLANK,5
369,01/05/2015,City Hall / 4th Ave & James St,59.0,BLANK,8
370,01/05/2015,Dexter Ave & Denny Way,59.0,BLANK,7
371,01/05/2015,Dexter Ave N & Aloha St,59.0,BLANK,13
372,01/05/2015,E Blaine St & Fairview Ave E,59.0,BLANK,8
373,01/05/2015,E Harrison St & Broadway Ave E,59.0,BLANK,16
374,01/05/2015,E Pine St & 16th Ave,59.0,BLANK,14
375,01/05/2015,Eastlake Ave E & E Allison St,59.0,BLANK,7
376,01/05/2015,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,59.0,BLANK,6
377,01/05/2015,Frye Art Museum / Terry Ave & Columbia St,59.0,BLANK,7
378,01/05/2015,Harvard Ave & E Pine St,59.0,BLANK,7
379,01/05/2015,Key Arena / 1st Ave N & Harrison St,59.0,BLANK,10
380,01/05/2015,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,59.0,BLANK,5
